step,MSE,val MSE
1,0.06244859729821865,0.035750120878219604
2,0.020179108788187686,0.014298236463218927
3,0.013673918823210092,0.011725994292646646
4,0.011433619074523449,0.011591628193855286
5,0.010853965838368122,0.01025701453909278
6,0.010204865812109066,0.00996989430859685
7,0.009764480189635204,0.00918993167579174
8,0.009176952191270314,0.008760925848037004
9,0.008700387373280067,0.008414146024733782
10,0.008355156160317935,0.008295563980937004
11,0.008023410498236235,0.008283598814159632
12,0.007772316296513264,0.007448258111253381
13,0.007520353564849267,0.006935994140803814
14,0.007312585384799884,0.007285810308530927
15,0.007093619053753523,0.006748683052137494
16,0.006881276432138223,0.006506598787382245
17,0.006652922727740728,0.006461302982643247
18,0.006583729508117988,0.006731802597641945
19,0.0064061274035618855,0.006453254260122776
20,0.006430118846205564,0.006613606587052345
21,0.006245360853007207,0.00641866005025804
22,0.006256014645959322,0.006070602918043733
23,0.006037776322605519,0.005838059587404132
24,0.005994946588403904,0.005644803633913398
25,0.005990687865190781,0.005948592908680439
26,0.00584093567270499,0.006021264940500259
27,0.005712702906189056,0.00549110327847302
28,0.005622999563526649,0.00561480806209147
29,0.005622912556506121,0.005720300367102027
30,0.00539644080429123,0.005360887851566076
