step,MSE,val MSE,train psnr,val psnr
1,0.00908505578101227,0.004512797286936447,21.62994169733327,23.48627053136411
2,0.004037526693450181,0.0036437075089096375,23.9778895347741,24.4219214812569
3,0.0035716624949779954,0.0035529161560470643,24.50946049173926,24.523079540418543
4,0.0031494384551432673,0.00300766140445257,25.068229602400663,25.253309332806133
