step,MSE,val MSE
1,0.00908505578101227,0.004512797286936447
2,0.004037526693450181,0.0036437075089096375
3,0.0035716624949779954,0.0035529161560470643
4,0.0031494384551432673,0.00300766140445257
5,0.002921401692856886,0.0027480125174169307
6,0.0027526380174650936,0.0025862437602051573
7,0.002593535863183391,0.0025084753161417725
8,0.002528544950260407,0.0024327054118697088
9,0.0024453707789753084,0.0023982250460666482
10,0.0023929167321622134,0.0023330570674379883
11,0.0023536469244582066,0.002294412062442659
12,0.002300843624635392,0.002263201471499127
13,0.0022710014062720073,0.002280581798201994
14,0.0022581330860911566,0.0022580784811314356
15,0.002237171556794672,0.002266300789019822
16,0.0022323328088138515,0.0022332909031082754
17,0.0022080606494727694,0.002252257315178766
18,0.0022011712522714572,0.002243274425500599
19,0.0021978748964507633,0.0024072663382748547
20,0.0021696553378704056,0.0021391949747972512
21,0.0021630863141517635,0.0021340276883996053
22,0.0021446422398665767,0.0021638574291263585
23,0.0021534251241209163,0.002121140370550363
24,0.00213878095086225,0.002100795074669725
25,0.0021211629548810043,0.0020900309293368914
26,0.002129527210379553,0.002095248671653478
27,0.002120669782502802,0.00211799782751452
28,0.0021111316972257936,0.002075439076060834
29,0.002107356867017402,0.002149146644945216
30,0.002101016766243395,0.002078651417674416
